Id,Date,Transaction
0,7/15,+60.5
1,7/28,-10.3
2,8/2,-20.46
3,8/13,+10
4,9/5,+25.75
5,9/18,-8.9
6,10/7,-15.25
7,10/22,-30.8
8,11/9,-55.6
9,11/24,+80.2
10,12/15,+40.1
11,1/3,-12.6
12,1/21,-35.9
13,2/8,+15.4
14,2/23,+70.3
15,3/12,-20.1
16,3/27,-10.8
17,4/5,-45.6
18,4/18,-9.7
19,5/1,+33.2
20,5/16,+45.9
21,6/4,-18.5
22,6/19,-60.4
23,7/2,-5.3
24,7/17,+20.6
25,8/8,+85.4
26,8/23,-15.7
27,9/10,-30.2
28,9/25,+10.9
29,10/12,+25.8
30,10/27,-40.5
31,11/9,-17.8
32,11/24,+70.3
33,12/7,-22.6
34,12/22,-55.9
35,1/4,+35.4
36,1/19,+60.3
37,2/1,-20.1
38,2/16,-40.8
39,3/5,-65.6
40,3/20,+15.2
41,4/7,+30.9
42,4/22,-10.5
43,5/5,-35.3
44,5/20,-25.8
45,6/2,+10.7
46,6/17,+55.6
47,7/5,-5.1
48,7/20,-20.2
49,8/2,-45.7